local_unit_code,Rural Urban,Province,Municipal Name,District,Year,Int Revenue,Fed Equalisation,Fed Conditional,Fed Complimentary,Fed Special,Capital Expenditure,Current Expenditure
51004,Rural Municipality,Lumbini,Shantinagar Rural Municipality,Dang,2018,6.832,,,,,112.155,101.806
51008,Rural Municipality,Lumbini,Rapti Rural Municipality,Dang,2018,17.496,,,,,174.112,112.234
51010,Rural Municipality,Lumbini,Rajpur Rural Municipality,Dang,2018,11.316,,,,,136.988,92.703
51005,Rural Municipality,Lumbini,Babai Rural Municipality,Dang,2018,13.41,,,,,126.954,113.86
51001,Rural Municipality,Lumbini,Banglachuli Rural Municipality,Dang,2018,11.902,,,,,137.007,115.058
51006,Rural Municipality,Lumbini,Dangisharan Rural Municipality,Dang,2018,11.673,,,,,100.394,93.001
51009,Rural Municipality,Lumbini,Gadhwa Rural Municipality,Dang,2018,33.436,,,,,149.432,147.403
50309,Rural Municipality,Lumbini,Sarumarani Rural Municipality,Pyuthan,2018,8.283,,,,,91.064,103.834
50306,Rural Municipality,Lumbini,Mandavi Rural Municipality,Pyuthan,2018,7.182,,,,,81.96,100.531
50307,Rural Municipality,Lumbini,Mallarani Rural Municipality,Pyuthan,2018,7.583,,,,,90.156,110.929
50302,Rural Municipality,Lumbini,Naubahini Rural Municipality,Pyuthan,2018,7.89,,,,,167.013,136.078
50303,Rural Municipality,Lumbini,Jhimruk Rural Municipality,Pyuthan,2018,8.199,,,,,131.113,136.409
50301,Rural Municipality,Lumbini,Gaumukhu Rural Municipality,Pyuthan,2018,8.323,,,,,124.673,112.167
50308,Rural Municipality,Lumbini,Airawati Rural Municipality,Pyuthan,2018,10.401,,,,,90.841,118.005
50209,Rural Municipality,Lumbini,Sunil smriti Rural Municipality,Rolpa,2018,7.732,,,,,133.724,141.592
50201,Rural Municipality,Lumbini,Sunchhahari Rural Municipality,Rolpa,2018,6.674,,,,,106.535,98.405
50204,Rural Municipality,Lumbini,Gangadeb Rural Municipality,Rolpa,2018,5.19,,,,,78.732,106.599
50210,Rural Municipality,Lumbini,Lungri Rural Municipality,Rolpa,2018,5.761,,,,,119.415,109.734
50208,Rural Municipality,Lumbini,Runtigadhi Rural Municipality,Rolpa,2018,17.095,,,,,124.688,153.478
50205,Rural Municipality,Lumbini,Maadi Rural Municipality,Rolpa,2018,8.161,,,,,115.925,75.419
50203,Rural Municipality,Lumbini,Paribartan Rural Municipality,Rolpa,2018,7.039,,,,,92.097,145.618
50202,Rural Municipality,Lumbini,Thabang Rural Municipality,Rolpa,2018,6.119,,,,,62.317,58.974
50206,Rural Municipality,Lumbini,Tribeni Rural Municipality,Rolpa,2018,5.155,,,,,102.649,141.885
50102,Rural Municipality,Lumbini,Sishne Rural Municipality,Rukum East,2018,9.693,,,,,98.013,113.76
50103,Rural Municipality,Lumbini,Bhume Rural Municipality,Rukum East,2018,8.235,,,,,131.948,108.221
50101,Rural Municipality,Lumbini,Putha Uttarganga Rural Municipality,Rukum East,2018,8.494,,,,,133.768,145.644
50402,Rural Municipality,Lumbini,Satyabati Rural Municipality,Gulmi,2018,8.862,,,,,108.654,177.523
50412,Rural Municipality,Lumbini,Ruru Rural Municipality,Gulmi,2018,4.871,,,,,90.524,147.316
50406,Rural Municipality,Lumbini,Malika Rural Municipality,Gulmi,2018,6.865,,,,,117.083,143.163
50407,Rural Municipality,Lumbini,Madane Rural Municipality,Gulmi,2018,5.563,,,,,127.552,122.829
50408,Rural Municipality,Lumbini,Dhurkot Rural Municipality,Gulmi,2018,5.795,,,,,101.74,171.214
50411,Rural Municipality,Lumbini,Chhatrakot Rural Municipality,Gulmi,2018,7.857,,,,,68.327,141.271
50403,Rural Municipality,Lumbini,Chandrakot Rural Municipality,Gulmi,2018,11.841,,,,,94.722,177.285
50410,Rural Municipality,Lumbini,Gulmidurbar Rural Municipality,Gulmi,2018,8.97,,,,,77.169,151.266
50401,Rural Municipality,Lumbini,Kaligandaki Rural Municipality,Gulmi,2018,8.566,,,,,80.098,162.039
50405,Rural Municipality,Lumbini,Ishma Rural Municipality,Gulmi,2018,6.603,,,,,116.108,117.677
